casename,Precursor,case_name,floris_TI,floris_U0,layout_x,layout_y,num_turbines,path,sim_length,sowfa_TI,sowfa_U0,yaw,power,ti,d_spacing,wake_table,Layouts
c_23,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R-1_y20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[20.  0.],[1691.3 1062.6],[0.08536301 0.130188  ],7.0,[0 1],2x2
c_24,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R00_y-20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[-20.   0.],[1701.5 1047.4],[0.09690962 0.13102462],7.0,[0 1],1x2
c_25,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R00_y00,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[0. 0.],[1941.4  922.3],[0.09289652 0.1223358 ],7.0,[0 1],1x2
c_26,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R00_y20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[20.  0.],[1690.6 1221.1],[0.08529792 0.14399926],7.0,[0 1],1x2
c_27,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R01_y-20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[-20.   0.],[1702.6 1085.6],[0.096836   0.15280741],7.0,[0 1],2x2
c_28,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R01_y00,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[0. 0.],[1942.2 1277.5],[0.09281769 0.17705205],7.0,[0 1],2x2
c_29,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R01_y20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[20.  0.],[1691.3 1665.8],[0.08520399 0.12573755],7.0,[0 1],2x2
c_30,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R-1_y-20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1704.9 1483. ],[0.09683963 0.17905319],10.0,[0 1],2x2
c_31,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R-1_y00,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1944.5 1209.9],[0.09273904 0.15828864],10.0,[0 1],2x2
c_32,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R-1_y20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1693.6 1197.3],[0.08533564 0.1167689 ],10.0,[0 1],2x2
c_33,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R00_y-20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1703.9 1198.1],[0.09682159 0.13656471],10.0,[0 1],1x2
c_34,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R00_y00,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1944.6 1103.8],[0.09284976 0.12898846],10.0,[0 1],1x2
c_35,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R00_y20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1693.  1395.2],[0.08526405 0.12909809],10.0,[0 1],1x2
c_36,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R01_y-20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1704.8 1204.1],[0.09683622 0.13189479],10.0,[0 1],2x2
c_37,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R01_y00,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1945.7 1367.1],[0.09283564 0.15461247],10.0,[0 1],2x2
c_38,"neutral_5kmx2kmx1km
",c_08_highTI_D10_R01_y20,0.09,8.38,"(1000.0, 2260.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1694.1 1724.7],[0.08517359 0.10915963],10.0,[0 1],2x2
c_39,"neutral_5kmx2kmx1km
",C_028_nhigh_yaw_base_Lno2,0.09,8.38,"(1000.0, 2512.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1946.3 1216.2],[0.09272393 0.12260599],12.0,[0 1],1x2
c_40,"neutral_5kmx2kmx1km
",C_029_nhigh_yaw_c1_Lno2,0.09,8.38,"(1000.0, 2512.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1695.2 1475.2],[0.08512851 0.11881285],12.0,[0 1],1x2
c_41,"neutral_5kmx2kmx1km
",C_026_nhigh_yaw_base_Lno1,0.09,8.38,"(1756.0, 2512.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1931.3  816.8],[0.09727924 0.09293754],6.0,[0 1],1x2
c_42,"neutral_5kmx2kmx1km
",C_027_nhigh_yaw_c2_Lno1,0.09,8.38,"(1756.0, 2512.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1712.  1094.5],[0.09553957 0.14134823],6.0,[0 1],1x2
c_43,"neutral_5kmx2kmx1km
",C_0001_0_0_5_-1_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[0. 0. 0.],[1936.  1064.6  637.4],[0.0929582  0.18046822 0.1477394 ],5.0,[0 1 2],2x3
c_44,"neutral_5kmx2kmx1km
",C_0019_0_10_5_-1_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 0. 10.  0.],[1934.2 1055.6  626.3],[0.09304241 0.18543378 0.14424866],5.0,[0 1 2],2x3
c_45,"neutral_5kmx2kmx1km
",C_0037_20_0_5_-1_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20.  0.  0.],[1687.   959.7  709.6],[0.08530624 0.13321382 0.17437169],5.0,[0 1 2],2x3
c_46,"neutral_5kmx2kmx1km
",C_0055_20_10_5_-1_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20. 10.  0.],[1686.5  935.5  737. ],[0.08540939 0.14199412 0.17600395],5.0,[0 1 2],2x3
c_47,"neutral_5kmx2kmx1km
",C_0002_0_0_5_-1_0,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1000.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[0. 0. 0.],[1936.2 1063.6  787.2],[0.09298947 0.18059566 0.20036182],5.0,[0 1 2],2x3
c_48,"neutral_5kmx2kmx1km
",C_0020_0_10_5_-1_0,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1000.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 0. 10.  0.],[1934.3 1054.6  844.6],[0.09305625 0.18552025 0.19686154],5.0,[0 1 2],2x3
c_49,"neutral_5kmx2kmx1km
",C_0038_20_0_5_-1_0,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1000.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20.  0.  0.],[1686.7  958.4 1123.9],[0.08538883 0.13331977 0.18983174],5.0,[0 1 2],2x3
c_50,"neutral_5kmx2kmx1km
",C_0056_20_10_5_-1_0,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1000.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20. 10.  0.],[1686.4  934.2 1221.2],[0.08540088 0.14210416 0.17307347],5.0,[0 1 2],2x3
c_51,"neutral_5kmx2kmx1km
",C_0003_0_0_5_-1_1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1063.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[0. 0. 0.],[1936.5 1062.8 1249.3],[0.09300643 0.18063546 0.19007599],5.0,[0 1 2],3x3
c_52,"neutral_5kmx2kmx1km
",C_0021_0_10_5_-1_1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1063.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 0. 10.  0.],[1934.8 1053.8 1301.6],[0.09305404 0.18557574 0.1761264 ],5.0,[0 1 2],3x3
c_53,"neutral_5kmx2kmx1km
",C_0039_20_0_5_-1_1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1063.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20.  0.  0.],[1687.8  957.5 1673.3],[0.08532555 0.13339875 0.12455759],5.0,[0 1 2],3x3
c_54,"neutral_5kmx2kmx1km
",C_0057_20_10_5_-1_1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 937.0, 1063.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[20. 10.  0.],[1687.2  933.3 1713.3],[0.08538969 0.14217931 0.11714313],5.0,[0 1 2],3x3
c_55,"neutral_5kmx2kmx1km
",D_0001_-20_-20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-20. -20.   0.],[1698.9  755.2 1378.7],[0.09694824 0.10724083 0.21179625],5.0,[0 1 2],2x3
c_56,"neutral_5kmx2kmx1km
",D_0007_-20_-10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-20. -10.   0.],[1698.3  849.7 1310.6],[0.09693933 0.11470735 0.21864912],5.0,[0 1 2],2x3
c_57,"neutral_5kmx2kmx1km
",D_0013_-20_0_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-20.   0.   0.],[1698.5  898.2 1221.2],[0.09691521 0.12311573 0.21652078],5.0,[0 1 2],2x3
c_58,"neutral_5kmx2kmx1km
",D_0019_-20_10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-20.  10.   0.],[1697.8  892.9 1128.6],[0.09705463 0.13219416 0.21343158],5.0,[0 1 2],2x3
c_59,"neutral_5kmx2kmx1km
",D_0025_-20_20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-20.  20.   0.],[1696.8  840.7 1062.4],[0.09695609 0.14146714 0.20664896],5.0,[0 1 2],2x3
c_60,"neutral_5kmx2kmx1km
",D_0031_-10_-20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-10. -20.   0.],[1874.8  658.5 1229.8],[0.09541068 0.09722493 0.21843621],5.0,[0 1 2],2x3
c_61,"neutral_5kmx2kmx1km
",D_0037_-10_-10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-10. -10.   0.],[1874.2  729.8 1170.5],[0.09538696 0.09593548 0.2168021 ],5.0,[0 1 2],2x3
c_62,"neutral_5kmx2kmx1km
",D_0043_-10_0_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-10.   0.   0.],[1874.6  762.4 1082.9],[0.09522609 0.09808112 0.21957012],5.0,[0 1 2],2x3
c_63,"neutral_5kmx2kmx1km
",D_0049_-10_10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-10.  10.   0.],[1874.5  749.2 1014. ],[0.09539294 0.10336872 0.21452634],5.0,[0 1 2],2x3
c_64,"neutral_5kmx2kmx1km
",D_0055_-10_20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[-10.  20.   0.],[1873.3  697.2  964. ],[0.09545594 0.11229512 0.20284393],5.0,[0 1 2],2x3
c_65,"neutral_5kmx2kmx1km
",D_0061_0_-20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[  0. -20.   0.],[1936.8  667.3 1064.7],[0.09289541 0.12555381 0.20797114],5.0,[0 1 2],2x3
c_66,"neutral_5kmx2kmx1km
",D_0067_0_-10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[  0. -10.   0.],[1936.4  725.7 1003.4],[0.09296531 0.11383242 0.20442862],5.0,[0 1 2],2x3
c_67,"neutral_5kmx2kmx1km
",D_0073_0_0_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[0. 0. 0.],[1936.5  745.7  945.4],[0.09288084 0.10409163 0.19139914],5.0,[0 1 2],2x3
c_68,"neutral_5kmx2kmx1km
",D_0079_0_10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 0. 10.  0.],[1936.8  720.4  906.4],[0.09291014 0.09715086 0.17940764],5.0,[0 1 2],2x3
c_69,"neutral_5kmx2kmx1km
",D_0085_0_20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 0. 20.  0.],[1936.4  657.9  891.6],[0.09299692 0.09457356 0.16747147],5.0,[0 1 2],2x3
c_70,"neutral_5kmx2kmx1km
",D_0091_10_-20_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 10. -20.   0.],[1867.7  783.1  921.8],[0.08982589 0.15820404 0.20912078],5.0,[0 1 2],2x3
c_71,"neutral_5kmx2kmx1km
",D_0097_10_-10_5_0_-1,0.09,8.38,"(1000.0, 1630.0, 2260.0)","(1000.0, 1000.0, 937.0)",3,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_eagle/eagle_runs,2000.0,0.1,8.0,[ 10. -10.   0.],[1868.1  837.1  871.7],[0.08984833 0.14627512 0.20512412],5.0,[0 1 2],2x3
